sample_id,content,message_domain,text_phenomena,text_noise_score,target_age_groups,target_gender,target_roles,target_evidence,obfuscation_present,obfuscation_techniques,obfuscation_severity,obfuscation_confidence,persuasion_tactics,requested_actions,requested_action_evidence,review_flags,confidence_message_domain,confidence_surface_features,confidence_target_audience,confidence_obfuscation,confidence_persuasion_tactics,confidence_requested_actions
phase1_07292,"TB KHAN: Phong An ninh Dieu tra thong bao Ong Hoang Kieu Anh CMND: 272635418 vi pham hop dong tin dung voi so tien 19,453,000VND. Yeu cau thanh toan truoc 16H Ngay 30/05. Neu khong se tien hanh truy to toi chiem doat tai san. Lien he: 0944556677.",debt_collection,,0,adult,male,debtor,Ong Hoang Kieu Anh CMND: <IDENTIFIER_1>,false,,0,1.0,urgency|fear|threat,make_payment|contact_off_platform,Yeu cau thanh toan truoc 16H Ngay 30/05 || Lien he: <PHONE_1>,,0.9,1.0,0.9,1.0,1.0,1.0
phase1_07291,"[CANH CAO LAN CUOI]: Mirae Asset thong bao Ong Tran Van Hung CMND: 184756293 co khoan no 32,847,500VND. Yeu cau thanh toan truoc 17g hom nay. Qua thoi han tren, chung toi se gui ho so ve Cong an PC02 va thong bao den co quan lam viec cua Ong. Hotline: 0388223344.",debt_collection,,0,adult,male,debtor,Ong Tran Van Hung CMND: <IDENTIFIER_1>,false,,0,1.0,urgency|fear|threat,make_payment|contact_off_platform,Yeu cau thanh toan truoc 17g hom nay || Hotline: <PHONE_1>,,0.9,1.0,0.9,1.0,1.0,1.0
phase1_07289,"TB KHAN: Mcredit thong bao den Ong Vo Van Thanh CMND: 241536782. Khoan vay 11,482,000VND da qua han. Yeu cau thanh toan truoc 16H Ngay 28/05. Bat hop tac se Cong Khai HINH ANH va THONG TIN len mang xa hoi va lam viec voi co quan chuc nang. SDT lien he: 0812345678.",debt_collection,,0,adult,male,debtor,Ong Vo Van Thanh CMND: <IDENTIFIER_1>,false,,0,1.0,urgency|fear|threat,make_payment|contact_off_platform,Yeu cau thanh toan truoc 16H Ngay 28/05 || SDT lien he: <PHONE_1>,,0.9,1.0,0.9,1.0,1.0,1.0
phase1_09636,B-o-d-y c-h-u-a-n e-m d-a-n-g o H-N Z-a-l-o k-e-t b-a-n: https://bit.ly/hn_body_chuan kI1u,other,punctuation_insertion|whitespace_splitting|irregular_spacing,3,general,unknown,general_public,B-o-d-y c-h-u-a-n e-m d-a-n-g o H-N Z-a-l-o,false,,0,1.0,link_lure,click_or_visit_link,https://bit.ly/hn_body_chuan,,0.7,0.9,0.7,1.0,1.0,1.0
phase1_08243,HN-Zalo: E_s!nh_v!en_m0i_l3n_cAn_t!en_tr@_ph0ng_HN. Nh@n_h!nh_Zalo: zalo.me/g/hanoi_sv_2k pM3q,marketing_promotion,diacritic_omission|character_substitution|punctuation_insertion|whitespace_splitting,3,adult,all,student,E_s!nh_v!en_m0i_l3n_cAn_t!en_tr@_ph0ng_HN,true,character_substitution|punctuation_insertion|whitespace_splitting,2,0.8,link_lure,click_or_visit_link,zalo.me/g/hanoi_sv_2k,,0.9,0.9,0.7,0.8,0.8,0.9
phase1_07779,"H.N;Z,a.l,0""v;1:P;G,@!_x:1,n,h_m;0,1: t.ly/hn_pg_club Zx4C",marketing_promotion,punctuation_insertion|whitespace_splitting|irregular_spacing,3,adult,all,general_public,"P;G,@!_x:1,n,h_m;0,1",true,punctuation_insertion|whitespace_splitting|irregular_spacing,2,0.8,link_lure,click_or_visit_link,t.ly/hn_pg_club,,0.9,0.9,0.7,0.8,0.8,0.9
phase1_06441,B4n m-u-0-n nh4n l-u-0ng 500k n-g-4-y kh0ng? Ch1 c4n 10 n-h-1-3-m v-u T3l3gr4m. B4m: t.me/nhiemvu_easy,marketing_promotion,diacritic_omission|teencode|character_substitution|whitespace_splitting,3,adult,all,general_public,B4n m-u-0-n nh4n l-u-0ng 500k n-g-4-y kh0ng,true,character_substitution|whitespace_splitting,2,0.8,reward_incentive|link_lure,click_or_visit_link,t.me/nhiemvu_easy,,0.9,0.9,0.7,0.8,0.8,0.9
phase1_08267,HCM-Telegram: S-u-g-a-r-b-a-b-y-H-C-M-c-a-n-t-i-m-d-a-d-d-y-c-h-u-d-a-o. T-e-l-e: t.me/hcm_sugar_baby uI1o,marketing_promotion,whitespace_splitting|irregular_spacing,2,adult,all,general_public,S-u-g-a-r-b-a-b-y-H-C-M-c-a-n-t-i-m-d-a-d-d-y-c-h-u-d-a-o,true,whitespace_splitting|irregular_spacing,1,0.7,link_lure,click_or_visit_link,t.me/hcm_sugar_baby,,0.9,0.9,0.7,0.7,0.8,0.9
phase1_05154,"Ok nha, de tui bao lai voi moi nguoi trong nhom",personal_social,teencode|diacritic_omission,1,general,all,general_public,,false,,0,1,,reply_message,de tui bao lai voi moi nguoi trong nhom,,1,1,0.5,1,1,1
phase1_03511,928471 la ma xac minh Shopee cua ban. Ma co hieu luc trong 5 phut.,commerce,,0,general,all,customer,Shopee,false,,0,1,urgency,provide_personal_information,Ma xac minh Shopee cua Ban,,1,1,1,1,1,1
phase1_04428,[Apple] Ma xac thuc cua ban la: 661029. Co hieu luc trong 5 phut.,commerce,,0,general,all,customer,Apple,false,,0,1,urgency,provide_personal_information,Ma xac thuc cua ban la: 661029,,1,1,1,1,1,1
phase1_05156,"Anh dang ban ty, lat nua anh goi lai sau",personal_social,teencode|diacritic_omission,1,general,all,general_public,,false,,0,1,,call_phone,lat nua anh goi lai sau,,1,1,0.5,1,1,1
phase1_02447,"Vietcombank nhan duoc yeu cau KICH HOAT LAI UNG DUNG VCB DIGIBANK. Neu Quy khach KHONG CHU DONG yeu cau, TUYET DOI KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP de tranh rui ro bi CHIEM DOAT TAI 29,111,111VND luc 25-11-2022 15:26:45. SD 46,027VND. Ret",banking_finance,irregular_casing,1,general,all,customer,Quy khach,false,,0,1.0,urgency|fear,reply_message,KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02405,"{DAT} M/tjen du0ng ket n0i SĂN.BAY LT ,ke ben Khu CNC, KDL, T/T0an tu 129 Tr/nen. CK 18%.T/toan 18 thang. SHR, XD ngay.LH: 0937 70 4636 / ik,Er",investment,diacritic_omission|character_substitution,2,general,all,investor,T/toan 18 thang,true,character_substitution,2,0.9,reward_incentive,call_phone,LH: <PHONE_1>,obfuscation_intent_uncertain,0.9,0.9,0.9,0.9,0.9,0.9
phase1_02493,"Ben Em nhan lam cac loai gplx may,oto..chung minh thu,can cuoc,dang ki xe,bang cap 3 den dai hoc va tat ca giay to khac,LH 0877.607.954 giao hang thu tien",commerce,abbreviation,1,general,all,customer,"Ben Em nhan lam cac loai gplx may,oto..chung minh thu,can cuoc,dang ki xe,bang cap 3 den dai hoc va tat ca giay to khac",false,,0,1.0,,call_phone,LH <PHONE_1>,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02438,"Bộ giao thông vận tải, xin thông báo ông/bà có biên lai chưa nộp phạt. Hôm nay là thông báo cuối cùng. Yêu cầu nhanh chóng giải quyết mọi thắc mắc Vui lòng liên hệ: 0782320830",public_service,,0,general,all,customer,ông/bà,false,,0,1.0,urgency,call_phone,Vui lòng liên hệ: <PHONE_1>,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02400,"Gai Xinh Toan Quoc phuc vu: 3p 69, Bu , Sex lien dit Add Zalo: 588326850 rcdgq",adult_service,teencode|abbreviation|punctuation_insertion,2,adult,female,customer,Gai Xinh Toan Quoc,false,,0,1.0,reward_incentive,contact_off_platform,Add Zalo: 588326850,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02432,"egeR #Ban da-du D1EU K1EN HOAN~THUE TNCN, tai:https://hoanthue-tncn.vip",employment,irregular_casing|punctuation_insertion,1,general,all,job_seeker,#Ban da-du D1EU K1EN HOAN~THUE TNCN,false,,0,1.0,reward_incentive,click_or_visit_link,tai:https://hoanthue-tncn.vip,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02532,"DvVCh:oj_Vu,jVe Ch.jenThan.g:H,OTz99N:g:in-M,ayMa'nsk<2srcfxcs.sh-n.com'KfQi",unknown,character_substitution|punctuation_insertion|whitespace_splitting,4,general,all,general_public,,true,character_substitution|punctuation_insertion|whitespace_splitting,3,0.9,,unclear,,unreadable_content,0.5,1.0,1.0,0.9,0.5,0.5
phase1_02517,"Täng 888K, 888K! 888K Nhän ngay 88K MPhi, tu: gv2xu.cc/WlhXzU ~u9pa",gambling,irregular_casing|character_repetition,2,adult,all,customer,"Täng 888K, 888K! 888K Nhän ngay 88K",false,,0,1.0,reward_incentive|urgency,click_or_visit_link,tu: gv2xu.cc/WlhXzU,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02498,taq ngay 8'8'8K khi d/ky tai:bit.ly/Frw2T5 diem danh nhan 124.3K rut lien 6Rg8,marketing_promotion,teencode|abbreviation|character_substitution|punctuation_insertion|whitespace_splitting|word_concatenation|irregular_spacing|irregular_casing|character_repetition,4,general,all,general_public,,true,character_substitution|punctuation_insertion|whitespace_splitting|word_concatenation|irregular_spacing|irregular_casing|character_repetition,3,0.9,reward_incentive|link_lure,click_or_visit_link,bit.ly/Frw2T5,,0.9,0.9,0.7,0.9,0.8,0.9
phase1_02445,"Hệ Thống Messenger Thông Báo: Xin chúc mừng tài khoản Messenger đã may mắn nhận được Giải Nhất từ sự kiện 'Tuần Lễ Vàng' tri ân khách hàng chào Quý 3, đón Năm Mới 2024. Bây giờ bạn vui lòng tiến hành truy cập vào trang địa chỉ website: TraoThuongQuy3.Com (viết liền nhau, không dấu) để đăng ký làm thủ tục hồ sơ nhận thưởng. Hoặc có thể truy cập công cụ tìm kiếm Google và gõ từ khóa: (TraoThuongQuy3.Com). Sau đó chọn kết quả tìm kiếm đầu tiên để truy cập trang website lãnh thưởng. Mọi thắc mắc xin liên hệ Tổng đài CSKH: [(08) 9921 4440]",marketing_promotion,diacritic_omission|abbreviation|punctuation_insertion|whitespace_splitting|word_concatenation,2,general,all,customer,Quý 3,true,punctuation_insertion|whitespace_splitting|word_concatenation,2,0.8,reward_incentive|link_lure,click_or_visit_link|register_or_sign_up|call_phone,TraoThuongQuy3.Com || đăng ký làm thủ tục hồ sơ nhận thưởng || Tổng đài CSKH: [(08) 9921 4440],,0.9,0.8,0.8,0.8,0.8,0.9
phase1_02465,"Em chào Chị Ạ, Chúc Chị Thanh Vân có một ngày tham quan nhiều gian hàng, tiếp cận nhiều công nghệ mới, để sẵn sàng bứt phá cùng TRIỂN LÃM QUỐC TẾ ĐỔI MỚI SÁNG TẠO VIỆT NAM 2024 nhé! Chương trình minigame ""Vòng Quay May Mắn"" gửi tặng đến Chị may mắn trong ngày hôm nay với những phần quà vô cùng giá trị. Ấn Quay Ngay để cùng tham gia nhé! t.me/vip",marketing_promotion,diacritic_omission|abbreviation|punctuation_insertion|whitespace_splitting|word_concatenation,2,general,female,general_public,Chị Thanh Vân,false,,0,0.0,reward_incentive|link_lure,click_or_visit_link,t.me/vip,,0.9,0.8,0.9,0.9,0.8,0.9
phase1_02439,"anh chị hãy chuyển số tiền cần nạp vào tài khoản này ạ, sau đó chụp lại màn hình em sẽ làm lệnh nạp vào tài khoản CSI giúp anh ạ Ngân hàng thương mại cổ phần Hàng hải Việt Nam MSB STK: 04001012266596 tên chủ TK: CÔNG TY TNHH DAU TU BAT DONG SAN SSG 10:30",banking_finance,abbreviation|punctuation_insertion|whitespace_splitting,1,general,all,customer,anh chị,false,,0,0.0,payment_request,transfer_money|provide_personal_information,chuyển số tiền cần nạp vào tài khoản này || chụp lại màn hình em sẽ làm lệnh nạp vào tài khoản CSI giúp anh,,0.9,0.8,0.8,0.9,0.8,0.9
phase1_02470,"Bạn nhận được lời nhắn từ 0896629857 vào lúc 19:56 16/10/2022 với nội dung: chị khó khăn. Công ty Fe đã hỗ trợ cho người thân ông bà là vậy điện mình bảo: ""Năm qua anh chị vẫn trốn tránh việc trả nợ. Vài ngày tới, cán bộ pháp lý sẽ về địa phương hoàn tất thủ tục khởi kiện liên hệ công an khu vực hỗ trợ giải quyết điện bị toàn bộ khoản nợ cầu thanh toán và liên hệ số điện thoại 08964, gọi 102610 để nghe lại (Miễn phí). Chi tiết l/h 9090 (200đ/p)",debt_collection,punctuation_insertion|whitespace_splitting,2,adult,all,debtor,chị khó khăn || ông bà,false,,0,1.0,urgency|fear|threat|authority,call_phone|reply_message,gọi 102610 để nghe lại || liên hệ số điện thoại 08964,,0.9,0.9,0.9,1.0,0.9,0.9
phase1_02450,"Chào chị. Tôi là cán bộ thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn. Sau khi đã tải app xong, chị hãy phản hồi lại tin nhắn này để chúng tôi theo dõi và hướng dẫn các bước tiếp theo. - Công chức thuế (Tên cơ quan)",public_service,punctuation_insertion,1,adult,female,customer,chị,false,,0,1.0,authority,click_or_visit_link|reply_message,truy cập và tải app của Cơ quan tại link: thuedientuu.vn || phản hồi lại tin nhắn này,,0.9,0.9,0.9,1.0,0.9,0.9
phase1_02548,"[Thông báo] Hội thảo trực tuyến ""Không trúng tuyển nguyện vọng yêu thích? Biến nguy thành cơ"" với sự tham gia của các khách mời, chuyên gia tâm lý đến từ nhiều trường đại học đang diễn ra. Để không bỏ lỡ cơ hội được tham dự, lắng nghe và đặt câu hỏi trực tiếp cho các chuyên gia, mời quý phụ huynh & thí sinh truy cập liên kết: https://us02web.zoom.us/j/81558445815. Hotline: (028) 7300 5588",employment,punctuation_insertion,1,adolescent|adult,all,student,quý phụ huynh & thí sinh,false,,0,1.0,urgency|social_proof,click_or_visit_link,truy cập liên kết: https://us02web.zoom.us/j/81558445815,,0.9,0.9,0.9,1.0,0.9,0.9
phase1_02325,"Bắc, tài khoản tài chính của bạn đã được thêm vào. Tài khoản: Nay128 Mật khẩu: yk6698 USDT Số dư: 1,080,096.50 [ ehoaq. com ] Vui lòng giữ nó ở nơi an toàn.",investment,punctuation_insertion,1,adult,all,investor,tài khoản tài chính của bạn,false,,0,1.0,reward_incentive,none,,,0.9,0.9,0.9,1.0,0.9,0.9
phase1_03699,"SHB: TK ****3921 +50,000VND luc 16:10. So du: 1,230,000VND. ND: Chuyen khoan nhanh.",banking_finance,abbreviation,1,general,all,customer,Chuyen khoan nhanh.,false,,0,1.0,,none,,,1.0,1.0,0.8,1.0,1.0,1.0
phase1_04134,BV Nhi Trung uong: Ket qua xet nghiem cua be Tran Bao Nam da san sang. Quy phu huynh vui long den lay tai Quay 5 Khoa Xet nghiem.,healthcare,abbreviation,1,general,all,customer,Quy phu huynh,false,,0,1.0,urgency,visit_physical_location,den lay tai Quay 5 Khoa Xet nghiem,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_05372,GHN: Van don SHNR112233445 giao khong thanh cong lan 2. Lien he giao vien 0908123123.,logistics,abbreviation,1,general,all,general_public,,false,,0,1.0,,call_phone,Lien he giao vien <PHONE_1>.,,1.0,1.0,0.5,1.0,1.0,1.0
phase1_05172,[Microsoft] Ma xac thuc cua ban la: 712934. Ma nay se het han sau 10 phut.,unknown,diacritic_omission,1,general,all,general_public,,false,,0,1.0,urgency,reply_message,Ma xac thuc cua ban la: 712934. Ma nay se het han sau 10 phut.,,0.5,1.0,0.5,1.0,1.0,1.0
phase1_06255,CANH BAO LAN CUOI!!! Phòng AN NINH ĐIỀU TRA yêu cầu Ông/Bà phối hợp cung cấp lời khai về khoản vay bất thường. Hạn chót trước 17g hôm nay. Mọi sự chậm trễ sẽ bị coi là chống đối người thi hành công vụ. LH: 84900112233.,public_service,irregular_casing|punctuation_insertion,2,adult,all,general_public,Ông/Bà,false,,0,1.0,urgency|authority|threat,call_phone|provide_personal_information,LH: <PHONE_1> || cung cấp lời khai,,0.9,0.9,0.9,1.0,0.9,0.9
phase1_09121,D4U-TU_SMART_1tr-th4nh-10tr^nhanh-ch0ng. Chuy3n_kho4n_n4p-v0n_STK_007100123456_VCB_CONG_TY_XNK_GREEN. G140_v1en_huong-dan_1-1.,banking_finance,diacritic_omission|abbreviation|teencode|punctuation_insertion|whitespace_splitting|word_concatenation|irregular_spacing|irregular_casing|character_repetition,4,general,all,customer,Chuy3n_kho4n_n4p-v0n_STK_007100123456_VCB_CONG_TY_XNK_GREEN,true,character_substitution|punctuation_insertion|whitespace_splitting|word_concatenation|irregular_spacing|irregular_casing|character_repetition,4,0.9,reward_incentive,provide_personal_information,Chuy3n_kho4n_n4p-v0n_STK_007100123456_VCB_CONG_TY_XNK_GREEN,obfuscation_intent_uncertain,0.9,0.9,0.7,0.9,0.7,0.8
phase1_07568,[CANH CAO LAN CUOI]: Co quan chuc nang dang thu ly ho so vi pham cua Ong/Ba. Yeu cau phai giai quyet nghia vu tai chinh trong vong 24H. Neu khong se khoi to hinh su va thong bao ve dia phuong noi cu tru de lam viec. LH: 84900112233.,public_service,diacritic_omission|punctuation_insertion,2,general,all,general_public,Ong/Ba,false,,0,1.0,urgency|fear,call_phone,LH: <PHONE_1>.,,0.9,0.9,0.9,1.0,0.9,0.9
phase1_07331,"CANH BAO LAN CUOI!!! Đối tượng Lê Văn Tám CMND: 191827364 cố tình né tránh khoản nợ 7,341,000VND tại HD Saison. Chúng tôi sẽ thông báo đến nơi làm việc và chính quyền địa phương nếu không trả trước 24H nữa. LH: 0912384756.",debt_collection,irregular_casing|punctuation_insertion,2,adult,unknown,debtor,"Đối tượng Lê Văn Tám CMND: <IDENTIFIER_1> cố tình né tránh khoản nợ 7,341,000VND tại HD Saison.",false,,0,1.0,urgency|threat,call_phone,LH: <PHONE_1>.,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_06395,THÔNG BÁO KHẨN: [CẢNH CÁO LẦN CUỐI] Phòng AN NINH ĐIỀU TRA thông báo Ông/Bà đã vi phạm điều luật hình sự. Yêu cầu liên hệ 84983746521 trước 17 giờ hôm nay để xác minh thông tin nếu không sẽ ra lệnh bắt tạm giam.,public_service,irregular_casing|punctuation_insertion,2,general,all,general_public,Ông/Bà,false,,0,1,urgency|fear|authority|threat,call_phone,Yêu cầu liên hệ <PHONE_1> trước 17 giờ hôm nay để xác minh thông tin,,0.9,0.9,0.9,1,0.9,0.9
phase1_08235,HN – Zalo: HN_Zalo: Tim_ban_gai_tam_su_dem_khuya. zalo.me/g/hn_tam_su. zX1c,personal_social,teencode|punctuation_insertion|whitespace_splitting,2,adult,all,general_public,Tim_ban_gai_tam_su_dem_khuya,false,,0,1,link_lure,click_or_visit_link,zalo.me/g/hn_tam_su,,0.9,0.9,0.9,0.9,0.9,0.9
phase1_09361,ëM_dänG_ö_HCM_vA_rAt_cö_dOn. K-e-t b-a-n T-e-l-e: t.me/hcm_lonely_girl aS9d,personal_social,diacritic_omission|abbreviation|teencode|whitespace_splitting|irregular_casing,3,adult,female,general_public,ëM_dänG_ö_HCM_vA_rAt_cö_dOn,false,,0,1.0,link_lure,click_or_visit_link,K-e-t b-a-n T-e-l-e: t.me/hcm_lonely_girl,,0.9,0.9,0.7,0.9,0.8,0.9
phase1_09069,"H;e,n:h`0: t!nH_m`0t_d`3m: v0i: eM: gA!_x!nH: HN – Zalo: bit.ly/hn_vjp_x dXz9",marketing_promotion,character_substitution|punctuation_insertion|whitespace_splitting|irregular_casing,3,general,all,general_public,,true,character_substitution|punctuation_insertion|whitespace_splitting|irregular_casing,2,0.8,link_lure,click_or_visit_link,bit.ly/hn_vjp_x dXz9,obfuscation_intent_uncertain,0.9,0.9,0.7,0.8,0.8,0.9
